epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,31.4376,1.37023,4.52412,1.34761,0.00179,0.53846,0.09001,0.07089,0.85239,4.02928,1.00287,0.00156,0.00052,0.00156,0.00052,0.00156,0.00052,0.00156,0.00052
2,53.3168,1.07611,3.77777,1.09211,0.00333,1,0.22656,0.18248,0.72897,3.54536,0.86944,0.00314065,0.00104688,0.00314065,0.00104688,0.00314065,0.00104688,0.00314065,0.00104688
3,74.4327,1.05636,2.52089,1.07368,0.92046,0.28205,0.78132,0.57773,0.73563,2.65795,0.86913,0.0046812,0.0015604,0.0046812,0.0015604,0.0046812,0.0015604,0.0046812,0.0015604
4,95.7504,0.97641,2.11692,0.98455,0.86543,0.82458,0.89649,0.6462,0.88312,2.37908,0.86074,0.00577725,0.00192575,0.00577725,0.00192575,0.00577725,0.00192575,0.00577725,0.00192575
5,117.282,0.98205,1.89482,0.95421,0.85148,0.87179,0.90833,0.68129,0.87039,2.04788,0.87413,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
6,138.273,0.98246,1.79295,0.95975,0.93322,0.92308,0.93326,0.73084,0.788,1.63119,0.85566,0.00562875,0.00187625,0.00562875,0.00187625,0.00562875,0.00187625,0.00562875,0.00187625
7,160.876,0.90608,1.60368,0.94889,0.93368,0.94872,0.96046,0.74088,0.82067,1.2241,0.85476,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
8,180.244,0.95633,1.51856,0.96201,0.92462,0.9436,0.97416,0.76208,0.71687,1.11967,0.84904,0.00548025,0.00182675,0.00548025,0.00182675,0.00548025,0.00182675,0.00548025,0.00182675
9,202.584,0.88365,1.40407,0.93782,0.90669,0.99674,0.94884,0.71841,0.71221,0.95731,0.83487,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
10,223.562,0.87839,1.371,0.92019,0.90433,0.96959,0.97062,0.76272,0.70663,0.85264,0.84762,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725
11,248.124,0.93464,1.35932,0.94951,0.87055,0.97436,0.97461,0.7466,0.70982,0.85675,0.84188,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
12,268.789,0.85695,1.15464,0.91492,0.89987,0.97436,0.96676,0.73025,0.80122,0.82999,0.86017,0.00518325,0.00172775,0.00518325,0.00172775,0.00518325,0.00172775,0.00518325,0.00172775
13,290.412,0.8517,1.15352,0.91418,0.92665,0.97187,0.95962,0.77818,0.74465,0.8384,0.84085,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
14,310.956,0.85002,1.14166,0.93368,0.90373,0.97436,0.96054,0.77377,0.7051,1.02492,0.84473,0.00503475,0.00167825,0.00503475,0.00167825,0.00503475,0.00167825,0.00503475,0.00167825
15,332.836,0.83982,1.08076,0.92696,0.94103,0.94872,0.97379,0.79236,0.70697,0.79052,0.83423,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
16,354.116,0.8099,1.02387,0.90794,0.91598,0.94872,0.97158,0.78704,0.68963,0.78394,0.83814,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875
